,BidOpen,BidClose,BidHigh,BidLow,AskOpen,AskClose,AskHigh,AskLow
0,-0.7432289238333567,-0.7187632359169953,-0.7498936622713757,-0.742071881606762,-0.6477113943345927,-0.6967386700550691,-0.6758826031475991,-0.6765687724487606
1,-0.7254270334421307,-0.723845828038975,-0.7549978732454292,-0.7048625792811833,-0.6925943176525351,-0.6933502753070684,-0.7209698000850722,-0.6731882526938477
2,-0.7254270334421307,-0.7213045319779923,-0.7524457677584024,-0.7048625792811833,-0.6942880128720788,-0.6933502753070684,-0.720119098256049,-0.6731882526938477
3,-0.7228839062433821,-0.6933502753070826,-0.7243726074011079,-0.7023255813953568,-0.6900537748232125,-0.6747141041931286,-0.7039557635048794,-0.6731882526938477
4,-0.7067774339846693,-0.7246929267259645,-0.7286261165461383,-0.705708245243116,-0.6595672608713983,-0.6730199068191354,-0.687792428753724,-0.6782590323262241
5,-0.7355995422371109,-0.726387124099972,-0.7524457677584024,-0.734460887949254,-0.7086844222382069,-0.705209656925021,-0.7167162909400133,-0.6892457215296872
6,-0.7279701606408793,-0.7390936044049283,-0.7541471714164061,-0.7200845665961992,-0.7061438794088843,-0.6923337568826753,-0.7167162909400133,-0.6850200718360355
7,-0.7406857966346081,-0.7382465057179246,-0.7694598043385668,-0.7200845665961992,-0.7061438794088843,-0.6932655654383666,-0.7225861335601707,-0.6850200718360355
8,-0.7411944220743436,-0.7390936044049283,-0.7703105061675899,-0.7205919661733589,-0.7019096413600323,-0.694959762812374,-0.7239472564865963,-0.6850200718360355
9,-0.7403467130081083,-0.7386700550614194,-0.7698851552530783,-0.7197463002114262,-0.7061438794088843,-0.6960609911054689,-0.7243726074010937,-0.6850200718360355
10,-0.7402619421014833,-0.7382465057179246,-0.7592513823904596,-0.7196617336152258,-0.7061438794088843,-0.6965692503176513,-0.7259038706933154,-0.6850200718360355
11,-0.7245793243758811,-0.7381617958492228,-0.7541471714164061,-0.7192389006342523,-0.6984375661599671,-0.6980940279542551,-0.7268396427052295,-0.6850200718360355
12,-0.7339041241046118,-0.7379076662431316,-0.7584006805614507,-0.719154334038052,-0.6990303594868124,-0.6982634476916587,-0.7274351339855372,-0.6850200718360355
13,-0.7394990039418587,-0.7229987293519855,-0.7541471714164061,-0.718900634249465,-0.7061438794088843,-0.700974163490045,-0.7276052743513333,-0.6850200718360355
14,-0.7245793243758811,-0.7373994070309209,-0.7541471714164061,-0.718900634249465,-0.7019096413600323,-0.6982634476916587,-0.7276052743513333,-0.6850200718360355
15,-0.7389903785020948,-0.7399407030919178,-0.7524457677584024,-0.7209302325581319,-0.7061438794088843,-0.7102922490470007,-0.7252233092301026,-0.6909359814071365
16,-0.7415335057008434,-0.723845828038975,-0.7549978732454292,-0.7209302325581319,-0.7061438794088843,-0.7058873358746354,-0.7339855380689073,-0.6900908514684119
17,-0.7394990039418587,-0.7365523083439314,-0.7618034878774864,-0.718900634249465,-0.707244781301597,-0.7102922490470007,-0.7353466609953188,-0.6900908514684119
18,-0.737210189462985,-0.7356204997882259,-0.766822628668649,-0.7166173361522112,-0.7076682051064864,-0.7067344345616249,-0.7361122926414225,-0.6865413057257541
19,-0.7362777094901105,-0.7340110122829486,-0.7652062951935363,-0.7159408033826651,-0.7085150527162654,-0.7082592121982145,-0.7369629944704315,-0.6887386435664524
20,-0.7355995422371109,-0.7326556543837341,-0.7638451722671107,-0.7158562367864647,-0.7112249650675295,-0.7162219398559841,-0.7376435559336443,-0.6960067610395129
21,-0.7402619421014833,-0.744176196526908,-0.7698851552530783,-0.7353065539112151,-0.724774526823893,-0.7191867852604759,-0.7243726074010937,-0.7086837101204253
22,-0.7559445598270855,-0.7543413807708674,-0.7856231390897506,-0.7353065539112151,-0.7201168649701515,-0.7188479457856829,-0.7482773287962488,-0.6989647158250563
23,-0.7559445598270855,-0.7560355781448607,-0.7856231390897506,-0.7369978858350947,-0.7197781259262399,-0.7188479457856829,-0.7482773287962488,-0.6986266638495664
24,-0.7576399779595704,-0.744176196526908,-0.7754147171416435,-0.7376744186046551,-0.7264682220434366,-0.7182549767047846,-0.7476818375159411,-0.706993450242976
25,-0.742381214767093,-0.7568826768318644,-0.7720119098255935,-0.7378435517970416,-0.7182538002286378,-0.7173231681490932,-0.7467460655040412,-0.697105429959862
26,-0.7584876870258199,-0.7568826768318644,-0.7881752445767773,-0.7378435517970416,-0.7170682135749615,-0.7166454891994931,-0.7455550829434259,-0.6964293260088823
27,-0.7584876870258199,-0.7577297755188539,-0.7745640153126203,-0.7601691331923917,-0.7175763221408289,-0.7331639135959307,-0.7460655040408284,-0.7129093598140628
28,-0.7584876870258199,-0.7612028801355422,-0.780518928115697,-0.7512050739957772,-0.7315493077020676,-0.7153748411689946,-0.7447894512973079,-0.7103739699978888
29,-0.7542491416945722,-0.756628547225759,-0.7796682262866881,-0.7424947145877354,-0.7273150696532156,-0.7162219398559841,-0.7444491705657015,-0.7061483203042513
30,-0.7517060144958236,-0.7551037695891551,-0.780518928115697,-0.7372515856236674,-0.7323961553118465,-0.7202033036848832,-0.7477669076988462,-0.7112190999366135
31,-0.7562836434535711,-0.753070732740369,-0.7822203317737149,-0.7356448202959882,-0.7323961553118465,-0.7203727234222868,-0.7498085920884705,-0.7112190999366135
32,-0.7530623490018229,-0.7505294366793862,-0.7813696299446917,-0.7324312896405871,-0.7323961553118465,-0.722405760271073,-0.7506592939174794,-0.7112190999366135
33,-0.7521298690289484,-0.7495976281236949,-0.7808592088473034,-0.731501057082454,-0.7323961553118465,-0.7227445997458659,-0.7516801361122845,-0.7112190999366135
34,-0.7511973890560881,-0.7490893689114841,-0.7803487877498867,-0.730570824524321,-0.7323961553118465,-0.7230834392206589,-0.752190557209687,-0.7112190999366135
35,-0.7500105963633388,-0.748411689961884,-0.7796682262866881,-0.7293868921775868,-0.7323961553118465,-0.7238458280389608,-0.7532964695873972,-0.7112190999366135
36,-0.7500105963633388,-0.748411689961884,-0.7796682262866881,-0.7293868921775868,-0.7323961553118465,-0.7238458280389608,-0.7532964695873972,-0.7112190999366135
37,-0.7500105963633388,-0.748411689961884,-0.7796682262866881,-0.7293868921775868,-0.7323961553118465,-0.7246929267259645,-0.7532964695873972,-0.7112190999366135
38,-0.7500105963633388,-0.748411689961884,-0.7796682262866881,-0.7293868921775868,-0.7323961553118465,-0.7246929267259645,-0.7541471714164203,-0.7112190999366135
39,-0.7500105963633388,-0.748411689961884,-0.7796682262866881,-0.7293868921775868,-0.7323961553118465,-0.7248623464633539,-0.7543173117822164,-0.7112190999366135
